"owner","repo","fetch_date","latest_day","views_count","views_uniques","clones_count","clones_uniques","status","error"
"asgr","celestial","2026-03-18","2026-03-17",0,0,1,1,"ok",""
"asgr","Highlander","2026-03-18","2026-03-17",6,1,0,0,"ok",""
"asgr","hyper.fit","2026-03-18","2026-03-17",0,0,0,0,"ok",""
"asgr","magicaxis","2026-03-18","2026-03-17",0,0,1,1,"ok",""
"asgr","ParmOff","2026-03-18","2026-03-17",0,0,0,0,"ok",""
"asgr","ProFound","2026-03-18","2026-03-17",1,1,0,0,"ok",""
"asgr","ProFuse","2026-03-18","2026-03-17",12,2,0,0,"ok",""
"asgr","ProGeny","2026-03-18","2026-03-17",0,0,0,0,"ok",""
"asgr","ProPane","2026-03-18","2026-03-17",0,0,0,0,"ok",""
"asgr","ProSpect","2026-03-18","2026-03-17",2,2,1,1,"ok",""
"asgr","ProSpectData","2026-03-18","2026-03-17",0,0,0,0,"ok",""
"asgr","ProUtils","2026-03-18","2026-03-17",0,0,0,0,"ok",""
"asgr","Rfits","2026-03-18","2026-03-17",2,1,0,0,"ok",""
"asgr","Rwcs","2026-03-18","2026-03-16",0,0,1,1,"ok",""
"asgr","sphereplot","2026-03-18","2026-03-17",0,0,1,1,"ok",""
"ICRAR","ProFit","2026-03-18","2026-03-16",0,0,2,2,"ok",""
